chrom,start,end,sample,gt,gt_name,supporting_sites,sites,DP,switches
V,16179968,16181996,ECA232,1,N2,26,26,1.46153846154,0
V,16181997,16184402,ECA232,2,CB4856,14,14,1,0
V,16184403,20924180,ECA232,1,N2,3442,3571,1.47646717025,124
X,1,17718942,ECA232,1,N2,1949,2066,1.30938943048,184
MtDNA,1,13794,ECA232,1,N2,36,37,1.13888888889,2
I,1,15072434,N2,1,N2,21342,21342,95.1838159498,0
II,1,15279421,N2,1,N2,32910,32910,111.991096931,0
III,1,13783801,N2,1,N2,20103,20103,92.5672287718,0
IV,1,17493829,N2,1,N2,22520,22520,90.8837921847,0
V,1,20924180,N2,1,N2,61705,61705,113.016044081,0
X,1,17718942,N2,1,N2,17395,17395,110.484679506,0
MtDNA,1,13794,N2,1,N2,36,36,1981.33333333,0
I,1,15072434,CB4856,2,CB4856,21342,21342,68.2735451223,0
II,1,15279421,CB4856,2,CB4856,32910,32910,76.2178669098,0
III,1,13783801,CB4856,2,CB4856,20103,20103,65.2343431329,0
IV,1,17493829,CB4856,2,CB4856,22520,22520,64.9701598579,0
V,1,20924180,CB4856,2,CB4856,61705,61705,74.6836561057,0
X,1,17718942,CB4856,2,CB4856,17395,17395,80.5093992527,0
MtDNA,1,13794,CB4856,2,CB4856,36,36,1302.13888889,0
I,1,15072434,ECA828,2,CB4856,12589,13293,1.89594090079,1160
II,1,15279421,ECA828,2,CB4856,20558,21564,2.03764957681,1494
III,1,13783801,ECA828,2,CB4856,11295,11885,1.94732182382,954
IV,1,17493829,ECA828,2,CB4856,13283,13941,1.88082511481,1096
V,1,17277824,ECA828,2,CB4856,30148,31431,2.02570651453,1784
V,17277825,17283167,ECA828,1,N2,23,23,1.91304347826,0
V,17283168,20924180,ECA828,2,CB4856,9308,9776,2.06027073485,642
X,1,9139380,ECA828,2,CB4856,6863,7099,2.04181844674,436
X,9139381,17718942,ECA828,1,N2,5824,5833,2.12980769231,18
MtDNA,1,13794,ECA828,1,N2,36,36,1.77777777778,0
I,1,15072434,N2,1,N2,21342,21342,95.1838159497704,0
II,1,15279421,N2,1,N2,32910,32910,111.991096931024,0
III,1,13783801,N2,1,N2,20103,20103,92.5672287718251,0
IV,1,17493829,N2,1,N2,22520,22520,90.88379218472468,0
V,1,20924180,N2,1,N2,61705,61705,113.01604408070659,0
X,1,17718942,N2,1,N2,17395,17395,110.48467950560506,0
MtDNA,1,13794,N2,1,N2,36,36,1981.3333333333333,0
I,1,15072434,CB4856,2,CB4856,21342,21342,68.27354512229407,0
II,1,15279421,CB4856,2,CB4856,32910,32910,76.21786690975388,0
III,1,13783801,CB4856,2,CB4856,20103,20103,65.23434313286575,0
IV,1,17493829,CB4856,2,CB4856,22520,22520,64.97015985790408,0
V,1,20924180,CB4856,2,CB4856,61705,61705,74.68365610566404,0
X,1,17718942,CB4856,2,CB4856,17395,17395,80.50939925265881,0
MtDNA,1,13794,CB4856,2,CB4856,36,36,1302.138888888889,0
I,1,15072434,N2,1,N2,24991,24991,5.29742707375,0
II,1,15279421,N2,1,N2,36363,36363,5.58790528834,0
III,1,13783801,N2,1,N2,23284,23284,5.41075416595,0
IV,1,17493829,N2,1,N2,26012,26012,5.72543441489,0
V,1,20924180,N2,1,N2,66609,66609,6.11324295516,0
X,1,17718942,N2,1,N2,19886,19886,7.78663381273,0
MtDNA,1,13794,N2,1,N2,35,35,111.542857143,0
I,1,15072434,CB4856,2,CB4856,24991,24991,63.5333520067,0
II,1,15279421,CB4856,2,CB4856,36363,36363,71.119544592,0
III,1,13783801,CB4856,2,CB4856,23284,23284,60.2973286377,0
IV,1,17493829,CB4856,2,CB4856,26012,26012,61.6390896509,0
V,1,20924180,CB4856,2,CB4856,66609,66609,70.8196039574,0
X,1,17718942,CB4856,2,CB4856,19886,19886,77.1858091119,0
MtDNA,1,13794,CB4856,2,CB4856,35,35,222.114285714,0
I,1,2388781,ECA1058,1,N2,537,637,1.09869646182,80
I,2388782,15072434,ECA1058,2,CB4856,2229,2663,1.15657245402,708
II,1,15279421,ECA1058,2,CB4856,4877,5751,1.16567562026,1293
III,1,13783801,ECA1058,2,CB4856,2346,2794,1.14620630861,702
IV,1,17493829,ECA1058,2,CB4856,3254,3910,1.12046711739,981
V,1,7056612,ECA1058,2,CB4856,3154,3598,1.15345592898,667
V,7056613,13845281,ECA1058,1,N2,2691,2694,1.1464139725,6
V,13845282,17340044,ECA1058,2,CB4856,2800,3086,1.16357142857,414
V,17340045,17347484,ECA1058,1,N2,16,16,1,0
V,17347485,20924180,ECA1058,2,CB4856,2293,2629,1.22416048844,462
X,1,17718942,ECA1058,2,CB4856,3289,3960,1.14290057768,1043
MtDNA,1,13794,ECA1058,2,CB4856,35,35,16.9142857143,0
I,1,15072434,ECA929,1,N2,6182,6221,1.29553542543,74
II,1,15279421,ECA929,1,N2,10266,10322,1.30576660822,86
III,1,13783801,ECA929,1,N2,5207,5235,1.21643940849,50
IV,1,17493829,ECA929,1,N2,6873,6911,1.29113924051,48
V,1,20924180,ECA929,1,N2,20398,20443,1.33787626238,84
X,1,7662586,ECA929,1,N2,3096,3106,1.26098191214,20
X,7662587,13623620,ECA929,2,CB4856,1633,1891,1.32639314146,422
X,13623621,17718942,ECA929,1,N2,1666,1672,1.318727491,12
MtDNA,1,13794,ECA929,1,N2,35,35,1.54285714286,0
I,1,15072434,N2,1,N2,21342,21342,95.1838159498,0
II,1,15279421,N2,1,N2,32910,32910,111.991096931,0
III,1,13783801,N2,1,N2,20103,20103,92.5672287718,0
IV,1,17493829,N2,1,N2,22520,22520,90.8837921847,0
V,1,20924180,N2,1,N2,61705,61705,113.016044081,0
X,1,17718942,N2,1,N2,17395,17395,110.484679506,0
MtDNA,1,13794,N2,1,N2,36,36,1981.33333333,0
I,1,15072434,CB4856,2,CB4856,21342,21342,68.2735451223,0
II,1,15279421,CB4856,2,CB4856,32910,32910,76.2178669098,0
III,1,13783801,CB4856,2,CB4856,20103,20103,65.2343431329,0
IV,1,17493829,CB4856,2,CB4856,22520,22520,64.9701598579,0
V,1,20924180,CB4856,2,CB4856,61705,61705,74.6836561057,0
X,1,17718942,CB4856,2,CB4856,17395,17395,80.5093992527,0
MtDNA,1,13794,CB4856,2,CB4856,36,36,1302.13888889,0
I,1,2199052,ECA1060,2,CB4856,1987,2094,1.56416708606,188
I,2199053,2765220,ECA1060,1,N2,677,690,1.51698670606,4
I,2765221,15072434,ECA1060,2,CB4856,7066,7335,1.5859043306,452
II,1,15279421,ECA1060,2,CB4856,16052,16732,1.66832793421,1002
III,1,13783801,ECA1060,2,CB4856,8744,9126,1.56004117109,592
IV,1,17493829,ECA1060,2,CB4856,10352,10749,1.54820324575,664
V,1,14765657,ECA1060,1,N2,17091,17129,1.61634778538,56
V,14765658,17340235,ECA1060,2,CB4856,8486,8774,1.62385104879,408
V,17340236,17347491,ECA1060,1,N2,18,18,2.94444444444,0
V,17347492,19002743,ECA1060,2,CB4856,3063,3214,1.60757427359,208
V,19002744,19229749,ECA1060,1,N2,286,314,1.77622377622,29
V,19229750,19382165,ECA1060,2,CB4856,221,317,3.04977375566,80
V,19382166,19382991,ECA1060,1,N2,16,16,1.1875,0
V,19382992,19494906,ECA1060,2,CB4856,170,231,1.92941176471,26
V,19494907,19504437,ECA1060,1,N2,70,76,1.51428571429,6
V,19504438,19512901,ECA1060,2,CB4856,83,93,1.48192771084,8
V,19512902,19537739,ECA1060,1,N2,38,57,1.02631578947,14
V,19537740,19662001,ECA1060,2,CB4856,70,122,1.05714285714,36
V,19662002,19707589,ECA1060,1,N2,41,54,1.19512195122,14
V,19707590,19811850,ECA1060,2,CB4856,111,196,1.43243243243,58
V,19811851,19990069,ECA1060,1,N2,147,238,1.99319727891,56
V,19990070,19991699,ECA1060,2,CB4856,23,30,1.60869565217,3
V,19991700,19998296,ECA1060,1,N2,25,25,2.4,0
V,19998297,20924180,ECA1060,2,CB4856,2262,2364,1.55305039788,136
X,1,17718942,ECA1060,2,CB4856,9325,9610,1.56407506702,532
MtDNA,1,13794,ECA1060,2,CB4856,36,36,1.69444444444,0
I,1,15072434,ECA1064,1,N2,11625,11646,1.65023655914,40
II,1,15279421,ECA1064,1,N2,19381,19408,1.70677467623,54
III,1,13783801,ECA1064,1,N2,10913,10924,1.63639695776,22
IV,1,17491610,ECA1064,2,CB4856,11799,12254,1.6205610645,784
IV,17491611,17493829,ECA1064,1,N2,2,2,2.5,0
V,1,20924180,ECA1064,1,N2,38342,38397,1.70645767044,102
X,1,17718942,ECA1064,1,N2,10694,10709,1.64886852441,23
MtDNA,1,13794,ECA1064,1,N2,36,36,1.41666666667,0
I,1,15072434,N2,1,N2,21342,21342,95.1838159497704,0
II,1,15279421,N2,1,N2,32910,32910,111.991096931024,0
III,1,13783801,N2,1,N2,20103,20103,92.5672287718251,0
IV,1,17493829,N2,1,N2,22520,22520,90.88379218472468,0
V,1,20924180,N2,1,N2,61705,61705,113.01604408070659,0
X,1,17718942,N2,1,N2,17395,17395,110.48467950560506,0
MtDNA,1,13794,N2,1,N2,36,36,1981.3333333333333,0
I,1,15072434,CB4856,2,CB4856,21342,21342,68.27354512229407,0
II,1,15279421,CB4856,2,CB4856,32910,32910,76.21786690975388,0
III,1,13783801,CB4856,2,CB4856,20103,20103,65.23434313286575,0
IV,1,17493829,CB4856,2,CB4856,22520,22520,64.97015985790408,0
V,1,20924180,CB4856,2,CB4856,61705,61705,74.68365610566404,0
X,1,17718942,CB4856,2,CB4856,17395,17395,80.50939925265881,0
MtDNA,1,13794,CB4856,2,CB4856,36,36,1302.138888888889,0
I,1,15072434,N2,1,N2,24991,24991,5.297427073746549,0
II,1,15279421,N2,1,N2,36363,36363,5.587905288342546,0
III,1,13783801,N2,1,N2,23284,23284,5.410754165950867,0
IV,1,17493829,N2,1,N2,26012,26012,5.725434414885438,0
V,1,20924180,N2,1,N2,66609,66609,6.11324295515621,0
X,1,17718942,N2,1,N2,19886,19886,7.786633812732576,0
MtDNA,1,13794,N2,1,N2,35,35,111.54285714285714,0
I,1,15072434,CB4856,2,CB4856,24991,24991,63.53335200672242,0
II,1,15279421,CB4856,2,CB4856,36363,36363,71.11954459203037,0
III,1,13783801,CB4856,2,CB4856,23284,23284,60.297328637691116,0
IV,1,17493829,CB4856,2,CB4856,26012,26012,61.63908965093034,0
V,1,20924180,CB4856,2,CB4856,66609,66609,70.81960395742317,0
X,1,17718942,CB4856,2,CB4856,19886,19886,77.18580911193804,0
MtDNA,1,13794,CB4856,2,CB4856,35,35,222.11428571428573,0
I,1,15072434,ECA2006,1,N2,10743,10805,1.53988643768035,94
II,1,15279421,ECA2006,1,N2,17559,17622,1.6025969588245343,98
III,1,1757699,ECA2006,1,N2,3350,3361,1.4608955223880598,18
III,1757700,1759682,ECA2006,2,CB4856,22,23,1.3636363636363635,2
III,1759683,13783801,ECA2006,1,N2,6046,6071,1.5028117763810784,43
IV,1,17493829,ECA2006,1,N2,11670,11743,1.5683804627249358,80
V,1,295,ECA2006,1,N2,1,1,1,0
V,296,566022,ECA2006,2,CB4856,878,925,1.5865603644646924,70
V,566023,572882,ECA2006,1,N2,22,26,1.5909090909090908,6
V,572883,20923490,ECA2006,2,CB4856,27877,30852,1.6310578613193671,4537
X,1,17718942,ECA2006,1,N2,10732,10755,1.5961610137905329,44
MtDNA,1,13794,ECA2006,2,CB4856,35,35,1.457142857142857,0
I,1,15072434,N2,1,N2,21342,21342,95.1838159498,0
II,1,15279421,N2,1,N2,32910,32910,111.991096931,0
III,1,13783801,N2,1,N2,20103,20103,92.5672287718,0
IV,1,17493829,N2,1,N2,22520,22520,90.8837921847,0
V,1,20924180,N2,1,N2,61705,61705,113.016044081,0
X,1,17718942,N2,1,N2,17395,17395,110.484679506,0
MtDNA,1,13794,N2,1,N2,36,36,1981.33333333,0
I,1,15072434,CB4856,2,CB4856,21342,21342,68.2735451223,0
II,1,15279421,CB4856,2,CB4856,32910,32910,76.2178669098,0
III,1,13783801,CB4856,2,CB4856,20103,20103,65.2343431329,0
IV,1,17493829,CB4856,2,CB4856,22520,22520,64.9701598579,0
V,1,20924180,CB4856,2,CB4856,61705,61705,74.6836561057,0
X,1,17718942,CB4856,2,CB4856,17395,17395,80.5093992527,0
MtDNA,1,13794,CB4856,2,CB4856,36,36,1302.13888889,0
I,1,15000000,CB4856,2,CB4856,2000,2000,1.3,2
II,1,15000000,CB4856,2,CB4856,2000,2000,1.3,2
III,1,13000000,CB4856,2,CB4856,2000,2000,1.3,2
IV,1,18000000,CB4856,2,CB4856,2000,2000,1.3,2
V,1,21000000,CB4856,2,CB4856,2000,2000,1.3,2
X,1,18000000,CB4856,2,CB4856,2000,2000,1.3,2
I,1,15000000,N2,1,N2,2000,2000,1.3,2
II,1,15000000,N2,1,N2,2000,2000,1.3,2
III,1,13000000,N2,1,N2,2000,2000,1.3,2
IV,1,18000000,N2,1,N2,2000,2000,1.3,2
V,1,21000000,N2,1,N2,2000,2000,1.3,2
X,1,18000000,N2,1,N2,2000,2000,1.3,2
